id_cliente,nombre,tipo,segmento,ciudad,pais,email,fecha_alta,edad
C30043,Jesse Dougherty,Anónimo,Anónimo,Mendoza,Argentina,,2020-10-12,
C30044,Wilmer Castaño,Persona,Regular,Buenos Aires,Argentina,ontiveroslinda@example.net,2022-09-03,28.0
C30045,Wilson Ltd,Empresa,Corporativo, Barranquilla,Colombia,bacaliliana@grupo.com,2022-04-04,21.0
C30046,Horacio de la Rosa Valles,Persona,Regular,Austin ,Estados Unidos,dleiva@example.net,2024-09-03,23.0
C30047,Samu Larrea-Puga,Persona,Regular,Barranquilla,Colombia,saralopez@example.com,2024-10-01,25.0
C30048,María Loaiza,Persona,Friends Plus,Chicago,Estados Unidos,fernando00@example.com,2020-02-24,21.0
C30049,Brayan Alberto Arenas Sánchez,Persona,Regular,BILBAO,España,antonioperea@example.com,2021-09-11,47.0
C30050,Cristian Mora,Persona,Friends Plus,Guadalajara ,México,mosleytammy@example.com,2020-11-22,29.0
C30051,Elvia Isabel Botello,Persona,Regular,Nueva York,Estados Unidos,diazesther@example.org,2020-06-03,41.0
C30052,Felix Acosta Aguilar,Persona,Regular,Querétaro,México,catalinaestrada@example.com,2023-08-31,64.0
C30053,Terry Thompson,Anónimo,Anónimo,Miami,Estados Unidos,,2020-05-19,
C30054,Laura Gómez Rueda,Persona,Regular,Seattle,Estados Unidos,bsanchez@example.com,2025-02-18,53.0
C30055,Olimpia Doménech-Frías,Persona,Friends Plus,Bogotá,Colombia,elenamartinez@example.org,2020-11-09,33.0
C30056,Richardson Inc,Empresa,Corporativo,Mérida,México,manzanoamaya@hnos.es,2024-08-19,54.0
C30057,Manuel Ortega Godínez,Persona,Regular,Ciudad de México,México,ortegaivonne@example.com,2022-09-10,27.0
C30058,Joshua Davis,Persona,Regular,Sevilla,España,resendezjavier@example.com,2021-11-27,22.0
C30059,Christian Cain,Anónimo,Anónimo,Barcelona,España,,2025-03-15,
C30060,Juan Luis Cañete Menéndez,Anónimo,Anónimo,Chicago,Estados Unidos,,2025-05-15,
C30061,Raúl Mariscal Cerdán,Persona,Regular,Cartagena,Colombia,adrienneduffy@example.net,2025-01-19,34.0
C30062,Juan Balderas Casares,Persona,Regular,Mendoza,Argentina,evanslawrence@example.com,2020-11-22,20.0
C30063,Reinaldo de Novoa,Persona,Friends Plus,Guadalajara,México,vpastor@example.com,2024-01-02,51.0
C30064,Gertrudis Aparicio Vidal,Persona,Regular, Chicago,Estados Unidos,quevedoeusebia@example.org,2020-10-18,39.0
C30065,Fabiola Querol,Persona,Regular, Seattle,Estados Unidos,kgomez@example.org,2024-08-16,36.0
C30066,Melissa Long DVM,Persona,Regular,Rosario,Argentina,ismael27@example.com,2022-09-16,19.0
C30067,Antonio Ferrer Nájera,Anónimo,Anónimo,Austin,Estados Unidos,,2020-06-11,
C30068,Juan Rangel Ramos,Persona,Regular, Guadalajara,México,pgarcia@example.org,2022-04-19,54.0
C30069,Maxi del Belmonte,Persona,Regular,Mendoza,Argentina,angela09@example.net,2024-08-21,19.0
C30070,Cecilia Sandra Giraldo,Anónimo,Anónimo,Boston,Estados Unidos,,2021-08-27,
C30071,Díaz Inc,Empresa,Corporativo,Austin,Estados Unidos,pablopurificacion@alimentacion.com,2022-04-26,21.0
C30072,Consultoría Viana & Asociados S.C.P,Empresa,Corporativo,Barranquilla,Colombia,edwinarroyo@daza-martinez.com,2021-02-14,21.0
C30073,Andrea Ibarra Narváez,Persona,Friends Plus,Ciudad de México,México,tracylam@example.net,2024-02-17,62.0
C30074,Micheal Ward,Persona,Regular,Buenos Aires,Argentina,pia68@example.net,2022-06-10,27.0
C30075,Buenaventura Salvador-Ros,Persona,Regular,Cartagena,Colombia,cortezpilar@example.net,2022-08-22,23.0
C30076,Leonor Laura Arenas Leal,Persona,Regular,BOSTON,Estados Unidos,walkerjeremy@example.net,2023-01-28,19.0
C30077,Linares S. R.L. de C.V.,Empresa,Corporativo,SAN FRANCISCO,Estados Unidos,stacy09@williams-simmons.com,2021-09-23,33.0
C30078,Sarah Guzman,Anónimo,Anónimo,Los Ángeles,Estados Unidos,,2024-08-16,
C30079,Adam Sherman,Persona,Regular,Guadalajara,México,jonathan69@example.com,2022-01-28,60.0
C30080,Erik Ryan,Persona,Regular,Cancún,México,rporcel@example.org,2022-11-19,38.0
C30081,Terri Gomez,Persona,Regular,Cali,Colombia,amy78@example.net,2020-05-18,58.0
C30082,Irene Donoso-Escrivá,Persona,Friends Plus,Cartagena,Colombia,vpena@example.org,2020-10-01,44.0
C30083,María Jaramillo,Persona,Friends Plus,Cancún,México,bcaldwell@example.org,2021-06-03,43.0
C30084,José Andrés Cáceres Salazar,Persona,Regular,Mendoza,Argentina,mateo27@example.net,2020-06-08,21.0
C30085,Roberta Hill,Persona,Regular,Valencia,España,cristianrobles@example.com,2023-08-13,25.0
C30086,Christopher Clark,Persona,Regular,Seattle,Estados Unidos,cleach@example.net,2020-09-20,41.0
C30087,José Manuél Flavio Longoria,Persona,Regular,Querétaro,México,qzayas@example.com,2021-02-18,50.0
C30088,Antonio Renato Villareal Velásquez,Persona,Regular,Medellín,Colombia,marinagarcia@example.net,2023-05-15,18.0
C30089,"Moore, Humphrey and Owens",Empresa,Corporativo,Ciudad de México,México,andresburgos@perez.com,2020-10-09,52.0
C30090,Cristian Niño Cornejo,Persona,Friends Plus,Ciudad de México,México,tudelamacario@example.org,2023-04-12,63.0
C30091,Ofelia Martha Esparza Rodarte,Anónimo,Anónimo,Barcelona,España,,2024-02-23,
C30092,Gabriel Jordan,Persona,Friends Plus,Chicago,Estados Unidos,qlara@example.com,2020-08-07,18.0
C30093,Eduardo Quiroga,Persona,Regular,Barranquilla,Colombia,kapodaca@example.com,2025-05-23,58.0
C30094,Amanda Amaya Reynoso,Persona,Regular,Austin,Estados Unidos,gabriel48@example.org,2020-12-12,41.0
C30095,Amílcar del Romero,Anónimo,Anónimo,Córdoba,Argentina,,2022-03-12,
C30096,Yésica Rocío Rentería León,Persona,Friends Plus,Los Ángeles,Estados Unidos,ellisonalexis@example.org,2024-11-23,24.0
C30097,Ing. Jacinto Ochoa,Persona,Friends Plus,San Francisco,Estados Unidos,sandra57@example.com,2025-04-04,45.0
C30098,Amador Duarte Ortega,Persona,Regular,Buenos Aires,Argentina,de-andatania@example.org,2022-05-30,26.0
C30099,Augusto Luna,Persona,Friends Plus,Miami,Estados Unidos,amaliagrau@example.org,2024-10-25,42.0
C30100,Sarah Davis,Persona,Friends Plus,Querétaro,México,horacio47@example.com,2024-04-28,37.0
C30101,Dario Federico Sierra,Persona,Friends Plus,Seattle,Estados Unidos,michael56@example.net,2022-10-16,23.0
C30102,Elena del Royo,Persona,Friends Plus,Medellín,Colombia,qrueda@example.org,2023-05-24,18.0
C30103,Rosa Rosalba Rodríguez Orozco,Anónimo,Anónimo,Boston,Estados Unidos,,2021-05-04,
C30104,Maria Fernandez,Persona,Friends Plus,Cartagena ,Colombia,alexander31@example.com,2022-04-29,22.0
C30105,Hnos Llanos S.Coop.,Empresa,Corporativo,Bilbao,España,ylee@stone.net,2022-08-15,39.0
C30106,Ramiro Marcos Barreto,Persona,Friends Plus,Sevilla,España,artemio69@example.net,2023-08-07,61.0
C30107,Elpidio Fabra Paniagua,Persona,Friends Plus,Barcelona,España,gcarranza@example.org,2022-12-23,19.0
C30108,Brian Crawford,Persona,Regular,Seattle,Estados Unidos,spabon@example.org,2021-03-31,22.0
C30109,Tatiana Ortiz Quintero,Persona,Regular,Cali,Colombia,cortezyuridia@example.com,2025-03-25,59.0
C30110,Sandra Gray,Persona,Regular,Bilbao ,España,ashley96@example.net,2024-03-02,20.0
C30111,Stephanie Cooper,Persona,Regular,Guadalajara,México,robert05@example.com,2024-07-02,39.0
C30112,Torres y Barral S.Coop.,Empresa,Corporativo,Barranquilla,Colombia,jacob62@waters-suarez.info,2024-02-28,44.0
C30113,Meyer-Velazquez,Empresa,Corporativo,Nueva York,Estados Unidos,bobby32@jones.info,2021-03-04,50.0
C30114,Castañeda Group,Empresa,Corporativo,Barranquilla,Colombia,marroquinlucia@roldan.info,2024-04-23,61.0
C30115,Ing. Nicolás Villa,Persona,Friends Plus, Austin,Estados Unidos,gonzalezgilberto@example.com,2025-03-14,55.0
C30116,Celestina Checa,Persona,Regular,Medellín,Colombia,bestmonica@example.com,2021-01-20,55.0
C30117,Jaime Casares,Persona,Regular,Monterrey,México,carlos78@example.com,2023-06-09,43.0
C30118,Dr. Michael Torres,Persona,Friends Plus,Cartagena,Colombia,santos32@example.org,2021-05-28,54.0
C30119,Carla Urbina Saavedra,Anónimo,Anónimo,Sevilla,España,,2020-12-23,
C30120,Prudencio Salvà Lillo,Persona,Regular,Mendoza,Argentina,luceromateo@example.org,2022-05-16,23.0
C30121,Candela Mendoza,Persona,Regular,Valencia,España,marinpaula@example.org,2022-11-12,50.0
C30122,Matilde Luz Gutiérrez Garzón,Persona,Friends Plus,Monterrey,México,wleyva@example.com,2022-10-10,54.0
C30123,Samuel Ruiz,Persona,Regular,Medellín,Colombia,jimena20@example.net,2025-05-27,28.0
C30124,Flor Baños Bermudez,Persona,Regular,Cartagena,Colombia,phillipweiss@example.com,2023-01-18,57.0
C30125,Leidy García Orjuela,Persona,Friends Plus,Ciudad de México,México,margaritaotero@example.com,2023-08-27,39.0
C30126,Javier Yamid Méndez,Persona,Regular,Querétaro,México,alemanrafaela@example.net,2023-11-08,35.0
C30127,Yeison Valencia,Persona,Regular,Querétaro,México,estela22@example.org,2024-06-08,51.0
C30128,René Domínguez Company,Persona,Regular,Austin,Estados Unidos,jonathan08@example.net,2021-11-14,60.0
C30129,Rosaura Lastra,Anónimo,Anónimo,Miami,Estados Unidos,,2020-01-02,
C30130,Sra. Verónica Pineda,Persona,Regular,Medellín,Colombia,isabelmendoza@example.com,2022-10-20,29.0
C30131,Proyectos Irizarry y Limón,Empresa,Corporativo,Ciudad de México,México,kyle51@choi.com,2025-03-06,34.0
C30132,Viviana Luz Bolaños Simó,Persona,Regular,Bilbao,España,alejandrolopez@example.org,2021-10-19,61.0
C30133,Inés Patricia Barreto Palacios,Persona,Regular,Mérida,México,wsolorio@example.com,2022-10-15,47.0
C30134,Ximena Gabriela Ortega González,Persona,Regular,Bilbao,España,nadiavaldes@example.net,2022-12-01,24.0
C30135,David Johnson,Persona,Regular,Rosario,Argentina,anthonysmith@example.org,2021-05-01,30.0
C30136,Carlos Hill,Persona,Regular,Guadalajara,México,jaime74@example.org,2025-05-27,58.0
C30137,Rojas-Gómez,Empresa,Corporativo,Rosario,Argentina,fsanchez@duque-hernandez.com,2022-09-25,47.0
C30138,Servicios RUMS S.L.N.E,Empresa,Corporativo,Cartagena,Colombia,xalmazan@mineria.com,2024-01-17,22.0
C30139,Martha María Herrera,Persona,Friends Plus,Madrid,España,zgomez@example.net,2024-02-09,47.0
C30140,Derrick Cole,Persona,Friends Plus,Cartagena,Colombia,victorgordon@example.net,2023-12-19,32.0
C30141,Michele Lopez,Anónimo,Anónimo,CALI,Colombia,,2021-01-24,
C30142,Estefanía Ripoll Pinedo,Persona,Regular,Seattle ,Estados Unidos,nohoravasquez@example.com,2022-04-08,58.0
C30143,Gary Campbell,Persona,Regular,Buenos Aires,Argentina,jefferylopez@example.com,2023-08-04,32.0
C30144,"Clayton, Smith and Velasquez",Empresa,Corporativo,Buenos Aires,Argentina,celia18@casarez-santillan.com,2020-11-02,50.0
C30145,Stephanie Flores,Persona,Friends Plus,Cartagena,Colombia,carlos53@example.org,2023-07-13,64.0
C30146,Jonathan Avila,Persona,Regular,Miami,Estados Unidos,soledadbravo@example.com,2023-07-28,46.0
C30147,Robert Mercado,Persona,Friends Plus,Querétaro,México,nathanielfuller@example.net,2022-10-08,30.0
C30148,Jesús César Padilla Perea,Anónimo,Anónimo,Austin,Estados Unidos,,2020-09-21,
C30149,Nando Echevarría Porcel,Persona,Friends Plus,Seattle,Estados Unidos,scottford@example.com,2023-08-19,54.0
C30150,Lisa Jones,Anónimo,Anónimo,Austin,Estados Unidos,,2025-01-17,
C30151,Andrea Nelson,Persona,Regular,Ciudad de México,México,simon09@example.net,2024-01-02,21.0
C30152,James Martin,Persona,Regular,Nueva York,Estados Unidos,socorro90@example.org,2023-10-18,18.0
C30153,Armando Villamizar,Persona,Regular,Miami,Estados Unidos,kmontes@example.com,2023-01-18,33.0
C30154,Rojas-Castaño,Empresa,Corporativo,Chicago,Estados Unidos,kenneth25@garcia.com,2023-09-17,19.0
C30155,Yésica del Miralles,Persona,Regular,Seattle,Estados Unidos,dan90@example.com,2020-05-27,48.0
C30156,Samantha Hardy,Persona,Regular,Ciudad de México,México,bradley99@example.com,2023-05-18,38.0
C30157,Guiomar Escribano Madrigal,Persona,Regular,Barranquilla,Colombia,salommicaela@example.net,2023-11-05,45.0
C30158,Morgan-Baker,Empresa,Corporativo,Barranquilla,Colombia,jordana52@distribuciones.org,2022-10-14,57.0
C30159,Alejandro José Ramírez Rojas,Persona,Regular,Medellín,Colombia,fsanchez@example.com,2025-02-05,50.0
C30160,Micaela Asunción Puga,Persona,Regular,Cali,Colombia,alcazarjuan-carlos@example.net,2020-06-22,58.0
C30161,Sabina Estevez Luís,Anónimo,Anónimo,Valencia,España,,2024-05-13,
C30162,Harris-Johnson,Empresa,Corporativo,Sevilla,España,arturoleon@bejarano.com,2022-08-12,21.0
C30163,Amanda Jones,Anónimo,Anónimo,Monterrey,México,,2020-05-17,
C30164,Bonifacio Angulo,Persona,Regular,Miami,Estados Unidos,rosreinaldo@example.com,2024-03-31,49.0
C30165,Cindy Zapata Osorio,Persona,Regular,Mérida ,México,benjaminadams@example.org,2020-07-28,18.0
C30166,Juan Baker,Persona,Regular,Cancún,México,jose-mariaquiroz@example.com,2020-04-09,58.0
C30167,María Quiroga Martínez,Persona,Regular,Mendoza,Argentina,hkline@example.org,2022-10-09,59.0
C30168,Laboratorios Coronado y Trujillo,Empresa,Corporativo,Cancún,México,pascuala07@familia.es,2020-07-17,53.0
C30169,Padilla y Cañizares S.C.P,Empresa,Corporativo,Monterrey,México,enriquecortes@ortiz.biz,2020-05-16,32.0
C30170,Ruperto Nebot Velázquez,Persona,Regular,Seattle,Estados Unidos,aitanacabanas@example.com,2021-09-24,54.0
C30171,Eulalia de Arcos,Persona,Regular,Valencia,España,carloscano@example.org,2022-07-24,32.0
C30172,Urbano Lobo Huerta,Persona,Regular,Boston,Estados Unidos,yolandaortega@example.com,2020-11-18,30.0
C30173,Lady Helena Cardona Gallego,Persona,Friends Plus, Rosario,Argentina,bonillamelanie@example.com,2020-06-12,41.0
C30174,Carmen Carvajal Canales,Anónimo,Anónimo,Nueva York,Estados Unidos,,2020-12-16,
C30175,Melissa Arnold,Persona,Regular,MENDOZA,Argentina,armando15@example.com,2021-07-23,59.0
C30176,Edinson González Melo,Persona,Regular,Seattle,Estados Unidos,galindohenry@example.net,2022-05-31,34.0
C30177,Nelly Herrera Barreto,Persona,Friends Plus,Los Ángeles,Estados Unidos,hayala@example.org,2020-03-31,50.0
C30178,Tomasa Matas-Giménez,Anónimo,Anónimo,Cartagena,Colombia,,2025-04-20,
C30179,Elizabeth Olga Martínez,Anónimo,Anónimo,Bogotá,Colombia,,2024-01-27,
C30180,Lic. Socorro Cavazos,Anónimo,Anónimo,Monterrey,México,,2022-06-27,
C30181,Humberto Vega,Persona,Friends Plus,Ciudad de México,México,javier35@example.net,2020-07-20,55.0
C30182,Alexander Martínez Vargas,Persona,Regular,Barranquilla,Colombia,rsoto@example.org,2021-09-18,41.0
C30183,Maximiliano Olivas Lira,Persona,Regular,Austin,Estados Unidos,carmen97@example.com,2022-11-07,48.0
C30184,Restauración Internacionales S.Com.,Empresa,Corporativo,Mérida,México,gonzalezdiana@ordonez.info,2020-02-07,54.0
C30185,Santiago César Leal,Persona,Regular,Ciudad de México,México,lopezmarcela@example.com,2023-12-25,63.0
C30186,Eutropio Montalbán Luque,Persona,Friends Plus,Austin,Estados Unidos,katherine93@example.net,2021-08-09,32.0
C30187,Alexandra María Barrios Pinzón,Anónimo,Anónimo,Mérida,México,,2022-04-12,
C30188,Rolando Carrillo Solorzano,Anónimo,Anónimo,Seattle,Estados Unidos,,2025-02-13,
C30189,Julio César Arce,Persona,Regular,Madrid,España,hmack@example.org,2022-04-06,26.0
C30190,Stephanie Velasquez,Persona,Regular,Miami,Estados Unidos,connie79@example.com,2022-07-04,50.0
C30191,Bartolomé Arjona Valenzuela,Persona,Regular,QUERÉTARO,México,jacquelineflores@example.com,2023-02-09,23.0
C30192,María Uribe,Anónimo,Anónimo,Monterrey,México,,2020-04-25,
C30193,Gerónimo Elías Gilabert Murcia,Persona,Regular,Miami,Estados Unidos,cnunez@example.com,2023-10-15,50.0
C30194,Elba Llopis-Alemany,Persona,Regular,Querétaro,México,luevanomarcos@example.net,2022-11-21,55.0
C30195,Michael Jones,Persona,Regular,Chicago,Estados Unidos,luisa07@example.com,2021-05-29,42.0
C30196,Miriam de Álvarez,Persona,Regular,Córdoba,Argentina,pballesteros@example.com,2022-06-11,37.0
C30197,Lic. Eduardo Patiño,Persona,Regular,Buenos Aires,Argentina,hcavazos@example.org,2023-03-06,50.0
C30198,Johan Jaimes González,Anónimo,Anónimo,Rosario,Argentina,,2023-03-21,
C30199,Jonás Colunga Pantoja,Persona,Regular,Córdoba,Argentina,quinonezcarlos@example.org,2025-05-21,23.0
C30200,Lindsay Myers,Persona,Friends Plus,Madrid,España,jmerino@example.org,2024-01-14,22.0
C30201,Sabrina Singh,Persona,Regular,Mendoza ,Argentina,rebeca27@example.com,2023-04-29,59.0
C30202,Constanza Carmen Guerrero Polo,Persona,Regular,Nueva York,Estados Unidos,lauracuellar@example.net,2020-08-21,40.0
C30203,Jose Antonio Millán Torre,Anónimo,Anónimo,Guadalajara,México,,2020-05-22,
C30204,Gonzalo Zacarías Casanova Treviño,Persona,Regular,Boston,Estados Unidos,xtafoya@example.com,2021-03-01,32.0
C30205,Tomás Mercado,Persona,Regular,Monterrey,México,enriquepi@example.net,2020-11-17,59.0
C30206,Luis Andrés Murillo,Persona,Regular,Monterrey,México,yasminzuluaga@example.org,2023-07-01,24.0
C30207,Elpidio Jáuregui Rivera,Persona,Regular,Austin,Estados Unidos,blancaespitia@example.net,2024-11-07,61.0
C30208,David Davidson,Anónimo,Anónimo,Mérida,México,,2020-04-08,
C30209,Eugenia Urbina Villareal,Persona,Regular,San Francisco,Estados Unidos,ojaramillo@example.org,2021-11-13,28.0
C30210,Michael White,Persona,Friends Plus,Bilbao,España,urangel@example.net,2020-02-04,35.0
C30211,Pamela Harris,Anónimo,Anónimo,Bogotá,Colombia,,2022-08-17,
C30212,Rosalva Quiroga Guillén,Anónimo,Anónimo,Nueva York,Estados Unidos,,2023-11-16,
C30213,Laura González,Persona,Regular,Ciudad de México,México,clarisa64@example.net,2021-04-04,39.0
C30214,Kelsey Byrd,Persona,Regular,Ciudad de México,México,mariaosorio@example.com,2025-03-30,61.0
C30215,William Johnson,Persona,Regular,Miami,Estados Unidos,reynaldovarela@example.org,2023-12-26,55.0
C30216,Gregorio Elias Zaragoza,Persona,Regular,Buenos Aires,Argentina,escobarteodora@example.com,2020-02-05,20.0
C30217,Andrés Reyes,Persona,Regular, Mérida,México,rufino86@example.org,2020-09-02,34.0
C30218,Jesse Mack,Persona,Regular,Monterrey,México,yusteserafina@example.com,2022-02-06,52.0
C30219,Alexander Betancur,Persona,Friends Plus,Bilbao,España,marcio41@example.net,2020-09-20,38.0
C30220,Leonardo Jorge Arias Castro,Persona,Regular,Monterrey,México,lujanflavio@example.net,2022-04-20,52.0
C30221,Tracey Soto,Anónimo,Anónimo,Bilbao,España,,2021-01-13,
C30222,Asunción Nicolás Tejedor,Persona,Regular,Boston,Estados Unidos,wayne40@example.org,2024-01-13,20.0
C30223,Ancizar Muñoz López,Anónimo,Anónimo,Valencia,España,,2024-05-29,
C30224,Ing. Paola Amador,Persona,Regular, Barcelona,España,solanolisandro@example.net,2025-02-07,43.0
C30225,Anna Smith,Persona,Regular,Valencia,España,dalia59@example.net,2022-11-04,60.0
C30226,Antonia Norma Montaño,Persona,Regular,Monterrey,México,lauramills@example.org,2023-12-05,45.0
C30227,Roberto Carrero,Persona,Regular,Madrid,España,rhernando@example.com,2025-04-17,47.0
C30228,Nelson Ltd,Empresa,Corporativo,Mendoza,Argentina,ruben86@garcia.com,2023-12-15,25.0
C30229,Proyectos Solorio y Villarreal,Empresa,Corporativo,Bilbao,España,gloriamonsalve@pena.com,2020-12-19,41.0
C30230,Eliana Piedad Sierra García,Persona,Regular,Ciudad de México,México,qcespedes@example.org,2025-03-21,41.0
C30231,Margaret Moreno,Persona,Regular,Barranquilla,Colombia,younglaura@example.com,2024-01-27,58.0
C30232,Mauricio Alexander Castro,Anónimo,Anónimo,Querétaro,México,,2025-03-14,
C30233,Oswaldo Girón Delgado,Anónimo,Anónimo,San Francisco ,Estados Unidos,,2021-12-17,
C30234,Diana María Benítez,Persona,Regular,Cali,Colombia,marly47@example.org,2023-07-20,41.0
C30235,Eliseo Ojeda Acevedo,Persona,Friends Plus,Buenos Aires,Argentina,imelda23@example.org,2020-02-28,34.0
C30236,Sr. Raúl Razo,Anónimo,Anónimo,Sevilla,España,,2023-01-20,
C30237,Pacífica del Robles,Persona,Regular,Cartagena,Colombia,dominguezcalixto@example.org,2024-02-06,50.0
C30238,Carmelita Tolosa Arévalo,Anónimo,Anónimo,MADRID,España,,2020-09-21,
C30239,Michael Daugherty,Persona,Friends Plus,Boston,Estados Unidos,dulce-maria51@example.org,2025-03-11,44.0
C30240,Pacífica Tovar Barragán,Persona,Friends Plus,Ciudad de México,México,ytorres@example.org,2024-04-04,57.0
C30241,Jorge Javier Huerta,Persona,Regular,Barcelona,España,navarroanthony@example.net,2021-06-26,24.0
C30242,Ciro León,Persona,Friends Plus,Guadalajara,México,amelendez@example.com,2021-11-15,24.0
C30243,Dr. Javier Haro,Persona,Regular,Austin,Estados Unidos,mariadominguez@example.net,2020-12-04,23.0
C30244,Elena Garcia-Cueto,Persona,Regular,Sevilla,España,yaneth65@example.org,2024-07-07,32.0
C30245,Maximiano Cuéllar,Persona,Regular,Los Ángeles,Estados Unidos,ttamarit@example.net,2020-06-02,29.0
C30246,Andrea Sánchez Pérez,Persona,Regular,Nueva York,Estados Unidos,reynaursula@example.org,2022-03-02,37.0
C30247,Erica Perez,Persona,Friends Plus,Nueva York ,Estados Unidos,nubiarodriguez@example.net,2022-10-14,24.0
C30248,Patricia Amanda Trejo Malave,Persona,Regular,Nueva York,Estados Unidos,oscar38@example.net,2025-02-10,54.0
C30249,Luis Mejía,Persona,Regular,Madrid,España,gallardojose-carlos@example.org,2023-08-24,34.0
C30250,Julio Hinojosa,Persona,Regular,Monterrey,México,phillipsapril@example.net,2020-10-07,53.0
C30251,Deborah Mcguire,Persona,Friends Plus,Buenos Aires,Argentina,limoncaridad@example.org,2023-02-21,46.0
C30252,Club Sánchez-Bravo,Empresa,Corporativo,Querétaro,México,michaelrodriguez@christensen-potter.com,2021-01-08,48.0
C30253,Marcos Angulo de la Garza,Anónimo,Anónimo,Sevilla,España,,2021-11-12,
